title,contentsid,address,imgpath,tags,introduction
"제20회 중문칠선녀축제","CNTS_000000000022600","제주특별자치도 서귀포시 중문동 2232 중문 천제연공원(구 진실캠핑장)","https://api.cdn.visitjeju.net/photomng/imgpath/202509/18/4aa707d6-3275-4794-8fd8-197357e0d424.webp","제주, 중문, 칠선녀, 전설, 축제, 지역축제, 천제연공원","신비로운 천제연의 정취 속에서 칠선녀와 함께 하는 환상적인 축제!"
"세상에 이런(E-RUN) 트립 in 우도","CNTS_200000000011775","제주특별자치도 제주시 우도면 연평리 1706-1","https://api.cdn.visitjeju.net/photomng/imgpath/202206/03/e0e1c13e-1315-4332-a6ca-b94d11c366f5.webp","액티비티,세상에이런트립,E-RUN트립,축제,행사","청정우도를 지키자! 세상에 E-RUN 트립 in 우도, 친환경여행을 떠나요"
"제16회  제주프랑스영화제","CNTS_200000000012095","제주특별자치도 제주시 이도이동 414","https://api.cdn.visitjeju.net/photomng/imgpath/202410/15/fe9f4af7-083d-47cf-b0ed-83c488766379.webp","제주, 프랑스, 영화제, 영상예술, 선착순무료입장","한국 유일의 연례 프랑스영화제"
"김만덕주간 나눔큰잔치","CNTS_200000000015411","제주특별자치도 제주시 건입동 1444","https://api.cdn.visitjeju.net/photomng/imgpath/202310/21/aae9a2c5-53e9-4176-a62f-3eefaf8e8964.webp","김만덕기념관,나눔큰잔치,김만덕,축제,행사,이벤트","김만덕주간 ‘나눔큰잔치’를 통하여 김만덕의 업적을 기리고 위대한 나눔과 도전정신을 제주도의 시대정신으로 계승 발전시키며,  나눔문화의 직*간접 체험을 통하여 나눔문화 확산에 이바지하고자 합니다."
"만덕제","CNTS_200000000015412","제주특별자치도 제주시 건입동 387-4","https://api.cdn.visitjeju.net/photomng/imgpath/202304/06/c9827faa-ea54-44b2-b17b-1c8754db272c.webp","김만덕기념관,만덕제,김만덕시상식,김만덕,축제,행사","매년 김만덕의 기일(10월 22일)에 가까운 일요일, 건입동 사라봉 모충사에서는 개최되는 만덕제 봉행 및 김만덕상 시상식"
"제주도민과 함께하는 공군음악회","CNTS_200000000015486","제주특별자치도 서귀포시 서홍동 551-1","https://api.cdn.visitjeju.net/photomng/imgpath/202305/03/3ad41c06-fd67-4d01-911b-9ea08fd9d330.webp","음악회,공군음악회","제주도민과 함께하는 공군음악회"
"2024 제주시 소상공인 한마음 박람회","CNTS_300000000012813","제주특별자치도 제주시 오라일동 1151-1","https://api.cdn.visitjeju.net/photomng/imgpath/202311/06/6534db3f-e34f-4b55-8056-900711d171e4.webp","제주시,소상공인, 박람회, 행사, 한마음박람회","우리의 이웃 소상공인과 함께 다양한 체험을 하고 참여하는 한마음 박람회"
"2023 제주성주풀이 : 새집지어오람구나","CNTS_300000000012825","제주특별자치도 제주시 일도이동 837-20","https://api.cdn.visitjeju.net/photomng/imgpath/202311/14/d79d5612-977f-4701-99d6-a5b6b99e03cf.webp","공연, 전통공연, 음악굿, 창작공연, 문화예술, 가족, 부모","제주성주풀이굿을 해체하고 재구성 한 전통창작 음악굿 공연"
"「제16회 주민과 함께하는 시와 음악의 밤」","CNTS_300000000013011","제주특별자치도 서귀포시 서귀동 519","https://api.cdn.visitjeju.net/photomng/imgpath/202509/18/2ed5856c-6b22-4fc5-b07b-8870c03fb7eb.webp","서귀포시축제, 정방동, 제주축제, 제주, 서귀포","정방동주민센터와 정방동주민자치위원회가 주최주관하는 제16회 주민과 함께하는 시와 음악의 밤 행사"
"2025 제주예술문화축전","CNTS_300000000013012","제주시 연동 301-15","https://api.cdn.visitjeju.net/photomng/imgpath/202505/28/098a00b0-28c4-44b3-be81-a86749ed8985.webp","다양한체험부스, 어린이사생대회, 제주예술문화축전, 제주예총, 온가족이함께즐겨요","예술愛 색을 입히다!"
